국가,단위,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Iceland,Percentage,1,,,,,1.2,,,,,1.5,,,,,1.8,2,1.9,1.9,2,2,2.1,2.2,2.2,2.5,2.6,2.7,2.9,2.9,2.8,2.8,2.6,2.6,2.1,2.2,2.4,2.3,2.1,1.8,1.8,1.7,1.5,1.7,1.7,1.8,2.1,2.1,2.2,2.2,2.2,1.7,17,1.9,1.8,1.9,2.3,2.1
Ireland,Percentage,3.7,3.8,3.7,3.9,3.7,3.4,3.7,3.7,3.2,3.2,2.7,2.7,2.4,1.7,1.7,1.6,1.4,1.2,1.3,1.3,1.3,1.3,1.5,1.4,1.6,1.5,1.5,1.4,1.4,1.5,1.4,1.5,1.5,1.6,1.7,1.8,1.7,1.5,1.9,2,2.2,2.7,2.4,1.8,1.5,1.4,1.7,1.8,2,2.2,1.5,1.4,1.3,1.3,1.2,1,1.1
Israel,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,3.5,3.3,3.3,3.3,3.2,3,2.9,2.9,3.2,3.3,3.2,3.3,3.3,3.2,3.4,3.4,3.1,3.2,3.2,3.4,3.3,3.4,3.3,3.2,3.1,3.6
Italy,Percentage,1.8,1.8,1.7,1.7,1.6,1.5,1.5,1.6,1.1,0.9,0.8,0.8,0.9,0.9,1,1.1,1,1,0.9,0.9,0.8,0.9,0.9,0.9,0.8,0.8,0.9,1.4,2.2,2.1,2.2,2.2,2.1,1.9,1.9,1.9,1.8,2,3.1,2.4,2,2,2,1.8,2.6,2,2.2,2.7,2.7,2.9,2.8,2.8,2.5,2.5,2.4,2.4,2.5
Japan,Percentage,1.4,1.3,1.3,1.3,1.3,1.4,1.6,1.7,1.7,1.7,1.8,1.8,1.9,2,2,2,2.1,2.3,2.4,2.4,2.5,2.9,3.1,3.1,2.9,2.6,2.7,2.8,3,3,3.1,3,2.9,2.8,2.8,2.7,2.7,2.6,2.5,2.5,2.5,2.4,2.4,2.5,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.7,2.6
Korea,Percentage,,,,,,,,1.1,1.3,1.3,1.4,1.4,1.3,1.3,1.3,1.4,1.4,1.6,1.7,1.5,1.4,1.3,1.4,1.5,1.8,2.2,2.3,2.3,2.6,2.7,2.6,2.5,2.4,2.1,2.6,2.6,2.4,2.7,2.6,2.4,2.6,3,3,2.8,2.6,2.5,2.6,2.5,2.4,2.6,2.9,2.9,3,3.1,3.1,3.9,4.5
Latvia,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.1,1.1,1.3,1,1.1,1.1,1,1,1,1,1,0.9,0.6,0.7,0.9,1,1,1,1,1,1.1,1,1,0.9,1,0.9
Lithuania,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Luxembourg,Percentage,1.7,1.7,1.9,1.8,1.9,1.5,1.6,1.8,1.9,1.6,1.7,1.8,2,1.9,2.1,2,2.1,2.2,2.4,2.2,2.2,2.3,2.5,2.8,3,2.9,2.5,2.7,2.8,2.8,2.6,2.8,3,3.3,3.7,4,3.6,3,2.8,2.8,3.2,3.3,3.4,2.6,2.4,2.5,2.5,2.6,2.6,2.8,3.2,3.3,3.6,3.9,3.9,3.8,4
Mexico,Percentage,,,,,,,,,,,,,,,,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
